,Text,Presentation,Links ,Pictures ,Total,Numbers,No.,Quality
http://warhammer40k.wikia.com/wiki/Scythes_of_the_Emperor,10,7,5,4,26,1,1,97.5
http://inazuma-eleven.wikia.com/wiki/Gouenji_Katsuya,6,4,3,5,18,2,2,95
http://marvel.wikia.com/wiki/Dreamqueen_(Earth-616),7,6,3,2,18,3,3,92.5
http://military.wikia.com/wiki/Project_Sign,8,1,3,0,12,4,4,90
http://memorydelta.wikia.com/wiki/Spock_(mirror)_(alternate_reality),5,3,2,1,11,5,5,87.5
http://sonic.wikia.com/wiki/Wall_Jump_Panel,2,2,2,3,9,6,6,85
http://real-life-villains.wikia.com/wiki/Idelphonse_Hategekimana,3,0,3,2,8,7,7,82.5
http://stexpanded.wikia.com/wiki/USS_Bonchune_(NCC-70915),2,2,2,1,7,8,8,80
http://memory-beta.wikia.com/wiki/Enderby,2,2,2,0,6,9,9,77.5
http://rageofbahamut.wikia.com/wiki/Dhampir,1,2.5,0,2,5.5,10,10,75
http://ma-test.wikia.com/wiki/Uttaberry,1,1.5,2,1,5.5,11,11,72.5
http://ponymondawndusk.wikia.com/wiki/Light,2,1,1,1,5,12,12,70
http://spacechannel5.wikia.com/wiki/Mass-produced_Peace_Carrier,2,0,1,1,4,12.5,13,67.5
"http://scratchpad.wikia.com/wiki/Mr_Holden's,_Miss_Ravens_and_Mr._Hawkins_adventures_of_The_Railway_series",4,1,0,0,5,13,14,65
http://tropes.wikia.com/wiki/Sophomore_Slump,4,0,1,0,5,14,15,62.5
http://essence.wikia.com/wiki/Frog_Doll_1,1,1,0,3,5,15,16,60
http://rappelz.wikia.com/wiki/Infernal_Aurumis_(Soul_Pet),0,2,1,1,4,16,17,57.5
http://lunia.wikia.com/wiki/Poison_Sting_Scorpion,3,1,1,0,5,16.5,18,55
"http://familypedia.wikia.com/wiki/Venus,_Constanţa",1,2,0,1,4,18,19,52.5
http://wiki.ffxiclopedia.org/wiki/Triton_Ring,0,1,1,1,3,19,20,50
http://swfanon.wikia.com/wiki/First_Battle_for_Coruscant_(Territorial),1,1,1,0,3,20,21,47.5
http://coronationstreet.wikia.com/wiki/Clive_Moore,1,0,2,0,3,21,22,45
http://scratchpad.wikia.com/wiki/Disney_-_Emelius_Brown_the_Disney_Character_and_Friends,2,1,0,0,3,22,23,42.5
http://chipmunkstunesbabiesallstarssadventuresseries.wikia.com/wiki/Starmie,1,0,0,2,3,23,24,40
http://lifeofheroesrp.wikia.com/wiki/Baby_Luigi,0,0,0,3,3,24,25,37.5
http://vintagepatterns.wikia.com/wiki/McCall's_5212,1,0,0,1,2,25,26,35
http://www.wowwiki.com/wiki/API_LeaveParty,0,1,0,1,2,26,27,32.5
http://l5r.wikia.com/wiki/Matsu_Tamekago,1,0,1,0,2,27,28,30
http://pixarcars.wikia.com/wiki/Jennifer_Hale,1,0,1,0,2,28,29,27.5
http://speedydeletion.wikia.com/wiki/Tixe_Ylno_(deleted_21_Jun_2008_at_14:22),1,0,0,0,1,29,30,25
http://darwinscratchpad.wikia.com/wiki/Noto,1,0,0,0,1,30,31,22.5
http://swfanon.wikia.com/wiki/767_BBY,0,1,0,0,1,31,32,20
http://scratchpad.wikia.com/wiki/Jon_Arbuckle_in_Wonderland,0,0,0,0,0,32,33,17.5
http://darwinscratchpad.wikia.com/wiki/Dwarves_(Ark_of_Boccob),0,0,0,0,0,33,34,15
http://lyrics.wikia.com/wiki/Anoushka_Shankar_&_Karsh_Kale:Sea_Dreamer,3,0,1,0,4,17,X,0
http://lyrics.wikia.com/wiki/Diana_King:I_Say_A_Little_Pray_For_You,3,0,1,0,4,17,X,0
http://lyrics.wikia.com/wiki/Funeral:Your_Pain_Is_Mine,3,0,1,0,4,17,X,0
http://lyrics.wikia.com/wiki/Rise_Electric:Greatest_Day,3,0,1,0,4,17,X,0
http://lyrics.wikia.com/wiki/Siva_Six:Opponent,3,0,1,0,4,17,X,0
http://lyrics.wikia.com/wiki/VeggieTales:Dance_Of_The_Cucumber,2,0,1,0,3,17,X,0
